"id_county","id_province"
4000103,3000004
4000101,3000004
4000030,3000004
4000011,3000002
4000023,3000001
4000019,3000003
4000028,3000002
4000026,3000001
4000017,3000003
4000021,3000002
4000020,3000002
4000016,3000001
4000014,3000002
4000008,3000001
4000031,3000003
4000015,3000002
4000009,3000002
4000005,3000002
4000105,3000004
4000024,3000002
4000013,3000004
4000027,3000002
4000004,3000002
4000029,3000001
4000010,3000002
4000003,3000001
4000102,3000004
4000012,3000003
4000006,3000003
4000002,3000003
4000104,3000004
4000106,3000004
4000025,3000003
4000018,3000002
4000007,3000004
4000001,3000002
4000022,3000002
