"id_site","id_country"
40000063,2000001
40000195,2000001
40000102,2000001
40000122,2000001
40000092,2000001
40000094,2000001
40000230,2000001
40000153,2000001
40000050,2000001
40000149,2000001
40000095,2000001
40000077,2000001
40000205,2000001
40000178,2000001
40000177,2000001
40000155,2000001
40000041,2000001
40000049,2000001
40000004,2000001
40000217,2000001
40000157,2000001
40000206,2000001
40000047,2000001
40000084,2000001
40000132,2000001
40000015,2000001
40000162,2000001
40000008,2000001
40000009,2000001
40000112,2000001
40000039,2000001
40000167,2000001
40000024,2000001
40000022,2000001
40000048,2000001
40000124,2000001
40000013,2000001
40000028,2000001
40000118,2000001
40000074,2000001
40000101,2000001
40000067,2000001
40000056,2000001
40000161,2000001
40000158,2000001
40000166,2000001
40000065,2000001
40000025,2000001
40000163,2000001
40000210,2000001
40000193,2000001
40000061,2000001
40000191,2000001
40000138,2000001
40000156,2000001
40000062,2000001
40000221,2000001
40000046,2000001
40000199,2000001
40000194,2000001
40000147,2000001
40000014,2000001
40000208,2000001
40000131,2000001
40000100,2000001
40000180,2000001
40000140,2000001
40000072,2000001
40000182,2000001
40000071,2000001
40000029,2000001
40000188,2000001
40000018,2000001
40000081,2000001
40000099,2000001
40000144,2000001
40000017,2000001
40000207,2000001
40000184,2000001
40000083,2000001
40000054,2000001
40000183,2000001
40000021,2000001
40000096,2000001
40000019,2000001
40000037,2000001
40000103,2000001
40000091,2000001
40000012,2000001
40000222,2000001
40000154,2000001
40000133,2000001
40000142,2000001
40000226,2000001
40000181,2000001
40000115,2000001
40000036,2000001
40000069,2000001
40000105,2000001
40000097,2000001
40000121,2000001
40000146,2000001
40000170,2000001
40000192,2000001
40000119,2000001
40000038,2000001
40000171,2000001
40000002,2000001
40000165,2000001
40000216,2000001
40000198,2000001
40000110,2000001
40000196,2000001
40000204,2000001
40000159,2000001
40000160,2000001
40000043,2000001
40000010,2000001
40000224,2000001
40000085,2000001
40000089,2000001
40000231,2000001
40000035,2000001
40000090,2000001
40000169,2000001
40000086,2000001
40000213,2000001
40000211,2000001
40000023,2000001
40000117,2000001
40000176,2000001
40000175,2000001
40000114,2000001
40000229,2000001
40000212,2000001
40000215,2000001
40000223,2000001
40000190,2000001
40000197,2000001
40000044,2000001
40000109,2000001
40000201,2000001
40000125,2000001
40000228,2000001
40000030,2000001
40000033,2000001
40000128,2000001
40000059,2000001
40000087,2000001
40000127,2000001
40000150,2000001
40000076,2000001
40000116,2000001
40000148,2000001
40000079,2000001
40000057,2000001
40000007,2000001
40000218,2000001
40000200,2000001
40000016,2000001
40000088,2000001
40000052,2000001
40000145,2000001
40000111,2000001
40000120,2000001
40000136,2000001
40000053,2000001
40000078,2000001
40000031,2000001
40000186,2000001
40000179,2000001
40000143,2000001
40000075,2000001
40000126,2000001
40000068,2000001
40000173,2000001
40000164,2000001
40000172,2000001
40000073,2000001
40000106,2000001
40000098,2000001
40000045,2000001
40000168,2000001
40000040,2000001
40000151,2000001
40000203,2000001
40000225,2000001
40000070,2000001
40000137,2000001
40000060,2000001
40000093,2000001
40000026,2000001
40000219,2000001
40000134,2000001
40000214,2000001
40000066,2000001
40000108,2000001
40000227,2000001
40000135,2000001
40000064,2000001
40000055,2000001
40000027,2000001
40000011,2000001
40000080,2000001
40000220,2000001
40000130,2000001
40000113,2000001
40000020,2000001
40000006,2000001
40000202,2000001
40000032,2000001
40000139,2000001
40000152,2000001
40000141,2000001
40000123,2000001
40000003,2000001
40000034,2000001
40000082,2000001
40000051,2000001
40000174,2000001
40000185,2000001
40000209,2000001
40000187,2000001
40000042,2000001
40000104,2000002
40000005,2000002
40000107,2000002
40000058,2000002
40000189,2000002
