"id_site","id_townland"
40000073,6000037
40000206,6000196
40000226,6002971
40000134,6006023
40000099,6008688
40000079,6008693
40000132,6012736
40000100,6011559
40000035,6035554
40000162,6016302
40000095,6020940
40000029,6030194
40000053,6047381
40000131,6040201
40000032,6049407
40000060,6049679
40000101,6049612
40000058,7002386
40000107,7000635
40000192,6049994
40000189,7006953
40000005,7003047
40000104,7007624
40000012,6000718
40000063,8000001
40000216,8000002
40000217,6000756
40000196,6002015
40000047,6000813
40000159,6001017
40000160,6001017
40000084,6001628
40000043,6001836
40000156,6001221
40000168,6002992
40000157,6002302
40000228,6002106
40000102,6003960
40000225,6003409
40000122,6003960
40000010,6004142
40000224,6004371
40000026,6004322
40000098,6004171
40000052,6004674
40000119,6004404
40000081,6004651
40000163,6005630
40000209,6004939
40000152,6005101
40000148,6005267
40000219,6005657
40000108,6009540
40000141,6005859
40000222,6006328
40000040,6006464
40000214,6006617
40000059,6007282
40000050,6007418
40000123,6008085
40000033,6009108
40000092,6006149
40000221,6008630
40000066,6008661
40000085,6010415
40000003,6010040
40000105,6010269
40000049,6011296
40000055,6011156
40000034,6010748
40000106,6010984
40000089,6011300
40000046,6012348
40000065,6011784
40000175,6012994
40000128,6012679
40000038,6013307
40000187,6013758
40000145,6013314
40000087,6014083
40000069,6014886
40000042,6014100
40000014,6014300
40000120,6014448
40000127,6015063
40000180,6017489
40000015,6015337
40000171,6015640
40000072,6015947
40000150,6016036
40000197,6016166
40000149,6016412
40000094,6016501
40000208,6016651
40000070,6017412
40000002,6017491
40000125,6017855
40000067,6017665
40000227,6017858
40000165,6018888
40000199,6018595
40000135,6017942
40000076,6018552
40000229,6019038
40000223,6018884
40000011,6018885
40000008,6020186
40000093,6019758
40000009,6020186
40000138,6020619
40000039,6022286
40000051,6020715
40000112,6021691
40000056,6022773
40000064,6023184
40000077,6022856
40000213,6023005
40000174,6023573
40000013,6024590
40000111,6023875
40000167,6023627
40000024,6024218
40000022,6024219
40000048,6024219
40000124,6024219
40000086,6024303
40000210,6024805
40000161,6024604
40000004,6024748
40000028,6024939
40000158,6026921
40000137,6025099
40000114,6026011
40000166,6027643
40000061,6026022
40000140,6026814
40000205,6027410
40000036,6027476
40000193,6026379
40000185,6027040
40000118,6028176
40000230,6027626
40000017,6028214
40000211,6028287
40000207,6028293
40000184,6028314
40000143,6029514
40000179,6029001
40000194,6029134
40000045,6029178
40000186,6028997
40000154,6029095
40000062,6029666
40000231,6029761
40000212,6030857
40000083,6029955
40000204,6030673
40000041,6031214
40000144,6032195
40000178,6031470
40000188,6031721
40000116,6031317
40000075,6032606
40000121,6032403
40000215,6032589
40000133,6033974
40000198,6032738
40000044,6032709
40000177,6032796
40000054,6033542
40000037,6034863
40000071,6034318
40000080,6034695
40000173,6035304
40000153,6035715
40000027,6035351
40000155,6035312
40000126,6036380
40000023,6035945
40000090,6036144
40000220,6036163
40000109,6036343
40000025,6038237
40000151,6036478
40000082,6038450
40000078,6038511
40000183,6038550
40000164,6038965
40000019,6040687
40000097,6039290
40000136,6039466
40000021,6040153
40000018,6040563
40000031,6040691
40000117,6039881
40000146,6040295
40000176,6040306
40000096,6040547
40000172,6041071
40000139,6041091
40000088,6041562
40000181,6041123
40000130,6041311
40000016,6041203
40000115,6041318
40000170,6041634
40000103,6041816
40000142,6045154
40000057,6042475
40000113,6044726
40000074,6041852
40000110,6043124
40000030,6043267
40000068,6043892
40000169,6044645
40000091,6047670
40000020,6045568
40000007,6045839
40000006,6045917
40000195,6046286
40000182,6046286
40000201,6046627
40000147,6047418
40000190,6047467
40000202,6047881
40000191,6048342
40000200,6048060
40000218,6048343
40000203,6048627
